Timetamp,Classification,Confidence
2022-11-20 18:35:17,Licking,0.5577645
2022-11-20 18:35:18,Licking,0.46652657
2022-11-20 18:35:18,Licking,0.85289574
2022-11-20 18:35:18,Licking,0.76082355
2022-11-20 18:35:19,Licking,0.7355773
2022-11-20 18:35:19,Licking,0.5060172
2022-11-20 18:35:19,Licking,0.6757906
2022-11-20 18:35:20,Biting,0.32114092
2022-11-20 18:35:20,Biting,0.7742364
2022-11-20 18:35:20,Biting,0.7467385
2022-11-20 18:35:21,Biting,0.6909796
2022-11-20 18:35:22,Biting,0.5371956
2022-11-20 18:35:22,Urinating,0.3022107
2022-11-20 18:35:23,Biting,0.38755232
2022-11-20 18:35:23,Licking,0.33070588
2022-11-20 18:35:23,Biting,0.67909855
2022-11-20 18:35:24,Licking,0.77991575
2022-11-20 18:35:24,Licking,0.44097698
2022-11-20 18:35:24,Licking,0.84203774
2022-11-20 18:35:25,Biting,0.9143588
2022-11-20 18:35:25,Biting,0.7632232
2022-11-20 18:35:26,Urinating,0.4916264
2022-11-20 18:35:26,Urinating,0.819828
2022-11-20 18:35:27,Urinating,0.8074029
2022-11-20 18:35:28,Urinating,0.26529852
2022-11-20 18:35:28,Urinating,0.22978868
2022-11-20 18:35:29,Urinating,0.8308826
2022-11-20 18:35:29,Licking,0.59688944
2022-11-20 18:35:30,Licking,0.7113729
2022-11-20 18:35:32,Urinating,0.73561496
2022-11-20 18:35:32,Urinating,0.70721364
2022-11-20 18:35:33,Biting,0.5134764
2022-11-20 18:35:33,Biting,0.9643862
2022-11-20 18:35:34,Biting,0.9237764
2022-11-20 18:35:34,Biting,0.8933257
2022-11-20 18:35:34,Biting,0.9615633
2022-11-20 18:35:35,Licking,0.23356386
2022-11-20 18:35:35,Biting,0.66531867
2022-11-20 18:35:35,Licking,0.41141483
2022-11-20 18:35:36,Biting,0.97439337
2022-11-20 18:35:36,Biting,0.900306
2022-11-20 18:35:37,Biting,0.63801706
2022-11-20 18:35:37,Biting,0.9582187
2022-11-20 18:35:38,Biting,0.9262722
2022-11-20 18:35:38,Biting,0.6547485
2022-11-20 18:35:38,Biting,0.835434
2022-11-20 18:35:38,Biting,0.84267867
2022-11-20 18:35:39,Biting,0.8753895
2022-11-20 18:35:39,Biting,0.68714476
2022-11-20 18:35:39,Biting,0.62762326
2022-11-20 18:35:40,Biting,0.88891596
2022-11-20 18:35:40,Licking,0.4773568
2022-11-20 18:35:40,Biting,0.89997333
2022-11-20 18:35:41,Biting,0.9473134
2022-11-20 18:35:41,Licking,0.62903494
2022-11-20 18:35:42,Licking,0.7805691
2022-11-20 18:35:42,Licking,0.8375763
2022-11-20 18:35:42,Biting,0.988548
2022-11-20 18:35:43,Licking,0.5981641
2022-11-20 18:35:43,Biting,0.4897755
2022-11-20 18:35:43,Biting,0.36895317
2022-11-20 18:35:44,Biting,0.8864606
2022-11-20 18:35:44,Biting,0.8234661
2022-11-20 18:35:44,Biting,0.75137687
2022-11-20 18:35:45,Biting,0.89391965
2022-11-20 18:35:45,Biting,0.62343204
2022-11-20 18:35:46,Biting,0.9295941
2022-11-20 18:35:46,Biting,0.8845786
2022-11-20 18:35:46,Biting,0.85184354
2022-11-20 18:35:47,Biting,0.55568385
2022-11-20 18:35:47,Biting,0.63297457
2022-11-20 18:35:47,Licking,0.3610362
2022-11-20 18:35:47,Biting,0.6183675
2022-11-20 18:35:48,Biting,0.7335791
2022-11-20 18:35:48,Biting,0.2874712
2022-11-20 18:35:48,Biting,0.6559048
2022-11-20 18:35:49,Licking,0.8148255
2022-11-20 18:35:49,Licking,0.79776335
2022-11-20 18:35:49,Licking,0.36517727
2022-11-20 18:35:50,Biting,0.90510815
2022-11-20 18:35:50,Licking,0.22456582
2022-11-20 18:35:50,Biting,0.72629726
2022-11-20 18:35:51,Biting,0.46259576
2022-11-20 18:35:51,Biting,0.71019155
2022-11-20 18:35:52,Biting,0.56378365
2022-11-20 18:35:52,Biting,0.35096753
2022-11-20 18:35:52,Biting,0.8098112
2022-11-20 18:35:53,Biting,0.9277543
2022-11-20 18:35:53,Biting,0.8342251
2022-11-20 18:35:54,Biting,0.44581616
2022-11-20 18:35:58,Biting,0.6631266
2022-11-20 18:35:59,Biting,0.86796284
2022-11-20 18:35:59,Licking,0.46131134
2022-11-20 18:35:59,Licking,0.9149641
2022-11-20 18:36:00,Licking,0.8189468
2022-11-20 18:36:00,Biting,0.94994265
2022-11-20 18:36:00,Licking,0.5714059
2022-11-20 18:36:01,Licking,0.9455886
2022-11-20 18:36:01,Biting,0.9401679
2022-11-20 18:36:01,Biting,0.9085457
2022-11-20 18:36:02,Biting,0.91370696
2022-11-20 18:36:02,Biting,0.91154695
2022-11-20 18:36:02,Licking,0.30865297
2022-11-20 18:36:02,Biting,0.8902421
2022-11-20 18:36:03,Biting,0.87373227
2022-11-20 18:36:03,Biting,0.9102706
2022-11-20 18:36:03,Licking,0.48235977
2022-11-20 18:36:04,Licking,0.86883795
2022-11-20 18:36:04,Licking,0.8304528
2022-11-20 18:36:04,Licking,0.73941296
2022-11-20 18:36:04,Biting,0.90156084
2022-11-20 18:36:05,Biting,0.7553392
2022-11-20 18:36:05,Licking,0.52162
2022-11-20 18:36:05,Biting,0.96067244
2022-11-20 18:36:06,Licking,0.4932317
2022-11-20 18:36:06,Licking,0.5151438
2022-11-20 18:36:06,Licking,0.7686974
2022-11-20 18:36:06,Licking,0.8246275
2022-11-20 18:36:07,Biting,0.8049096
2022-11-20 18:36:07,Licking,0.8808638
2022-11-20 18:36:07,Biting,0.9491516
2022-11-20 18:36:08,Biting,0.93963945
2022-11-20 18:36:08,Biting,0.49209586
2022-11-20 18:36:08,Biting,0.90828174
2022-11-20 18:36:09,Biting,0.881376
2022-11-20 18:36:09,Licking,0.73031527
2022-11-20 18:36:10,Biting,0.9465148
2022-11-20 18:36:10,Licking,0.33289835
2022-11-20 18:36:10,Licking,0.7619177
